First user source / medium,Landing page,Total users,% Δ,Add to carts,% Δ,Sessions,% Δ
google / organic,/blog/cod-promotional-prima-casino,7,2.5,1,,8,3
google / organic,/blog/cont-12xbet,1,,1,,1,
google / organic,/blog/depunere-joker-casino-retragere,1,0,1,,1,0
google / organic,/blog/depunere-mr-bit-retrageri,2,1,1,,2,1
google / organic,/blog/depunere-zinx-casino-retragere,3,2,1,,3,0.5
google / organic,/blog/excelbet-mobil,1,,1,,1,
google / organic,/blog/ghid-verificare-identitate-casino,5,-0.375,1,0,5,-0.5
google / organic,/blog/jucatori-de-poker-romani,3,0,1,,3,0
google / organic,/blog/jucatori-fotbal,5,-0.16666666666666666,1,,5,-0.16666666666666666
google / organic,/blog/las-vegas-loto,2,,1,,2,
google / organic,/blog/lucky-seven-bonus-fara-depunere,2,-0.7142857142857143,1,0,2,-0.7142857142857143
google / organic,/blog/pacanelero-bonus-bun-venit,6,2,1,0,6,2
google / organic,/blog/pokerstars-bonus-fara-depunere,7,0.16666666666666666,1,,9,0.125
google / organic,/blog/princess-casino-cod-bonus,1,,1,,1,
google / organic,/blog/promotii-unibet-fara-depunere,5,-0.5,1,-0.8333333333333334,5,-0.5454545454545454
google / organic,/blog/reguli-rentz,4,-0.6,1,,4,-0.6
google / organic,/blog/superbet-contact,10,-0.3333333333333333,1,,12,-0.29411764705882354
google / organic,/blog/totalbet-bonus-fara-depunere,2,-0.6666666666666666,1,0,2,-0.6666666666666666
google / organic,/blog/verificare-bilet-betmen,13,0.3,1,0,14,0.07692307692307693
google / organic,/blog/zinx-casino-bonus,2,-0.5,1,0,2,-0.5
google / organic,/bonus-de-bun-venit-casino,4,3,1,0,4,3
google / organic,/bonus-vip,8,-0.6923076923076923,1,,8,-0.7241379310344828
google / organic,/cele-mai-noi-cazinouri,1,-0.5,1,,1,-0.5
google / organic,/depuneri-cazinouri-online-care-platesc,3,,1,,3,
google / organic,/loto-italia,4,1,1,,4,1
google / organic,/loto-online,3,2,1,,4,3
